feature_set,scenario,scenario_sign,year,horizon_from_2028,fiscal_action_cut_units_pp,Y_shortfall_pct,direct_discretionary_PB_level_pp,direct_DY_LP_margin_initial_action_pp
trade+debt+liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,2028,0,1.0,1.3583496928956666,1.0,1.5699132700724368
trade+debt+liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,2029,1,1.0,3.3597459273512826,1.9245105011118464,4.135250166734305
trade+debt+liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,2030,2,1.0,4.988622531716838,2.653426511105282,6.119787608782515
trade+debt+liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,2031,3,0.0,4.444670532313086,2.2782633525186844,5.396182776362997
trade+debt+liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,2032,4,0.0,3.06032924590152,1.896070091754988,3.2209510702274335
trade+debt+liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,2033,5,0.0,1.7636698855981863,1.708343044083846,0.06050922302507966
trade+debt+liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,2034,6,0.0,0.8036781789803834,1.6359483340928576,-1.492389144426706
trade+debt+liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,2035,7,0.0,0.17127865641836132,1.6801253571138328,-1.7114189991598354
trade+debt+liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,2036,8,0.0,0.16571700577161186,1.8445600297869336,0.02766043017570019
trade+debt+liq+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2028,0,-1.0,-1.3583496928956666,-1.0,-1.5699132700724368
trade+debt+liq+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2029,1,-1.0,-3.3597459273512826,-1.9245105011118464,-4.135250166734305
trade+debt+liq+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2030,2,-1.0,-4.988622531716838,-2.653426511105282,-6.119787608782515
trade+debt+liq+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2031,3,-0.0,-4.444670532313086,-2.2782633525186844,-5.396182776362997
trade+debt+liq+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2032,4,-0.0,-3.06032924590152,-1.896070091754988,-3.2209510702274335
trade+debt+liq+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2033,5,-0.0,-1.7636698855981863,-1.708343044083846,-0.06050922302507966
trade+debt+liq+log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2034,6,-0.0,-0.8036781789803834,-1.6359483340928576,1.492389144426706
