bootstrap_rep,path,path_type,K_Y_h8,K_G_h8,scenario,scenario_sign,dsa_margin_2036,direct_dy_margin_2036,Y_shortfall_2036,direct_pb_2036
11,trade,retained_single_feature,1.3824238222107534,0.6740127639700472,three_1pp_expansion_2028_2030,expansion,6.937564156617867,-1.445296876029027,-2.329358163320022,-1.8546772751262983
11,liq,retained_single_feature,1.4812277053125713,0.7411544079842378,three_1pp_cut_2028_2030,cut,-5.472734739755509,2.289377609781073,3.1365217373671235,2.0329761985050596
11,liq,retained_single_feature,1.4812277053125713,0.7411544079842378,three_1pp_expansion_2028_2030,expansion,5.554945923838844,-2.289377609781073,-3.1365217373671235,-2.0329761985050596
11,debt,retained_single_feature,1.8866413144668228,0.8014475197153185,three_1pp_cut_2028_2030,cut,0.05716295219818335,5.3807910420965115,4.869026747526224,2.14041787856297
11,debt,retained_single_feature,1.8866413144668228,0.8014475197153185,three_1pp_expansion_2028_2030,expansion,0.1716276497579372,-5.3807910420965115,-4.869026747526224,-2.14041787856297
12,trade,retained_single_feature,1.7723270568683653,0.7983505159431695,three_1pp_cut_2028_2030,cut,6.813698197270298,-0.07690542030829864,4.649449481494283,2.327448935980925
12,trade,retained_single_feature,1.7723270568683653,0.7983505159431695,three_1pp_expansion_2028_2030,expansion,-6.689840349727945,0.07690542030829864,-4.649449481494283,-2.327448935980925
12,liq,retained_single_feature,1.4879350132118785,0.7957439263166876,three_1pp_cut_2028_2030,cut,2.587276700199908,-0.8847437392378942,4.286481857341245,2.3559828857587957
12,liq,retained_single_feature,1.4879350132118785,0.7957439263166876,three_1pp_expansion_2028_2030,expansion,-2.3628362687539664,0.8847437392378942,-4.286481857341245,-2.3559828857587957
12,debt,retained_single_feature,2.0795357575528555,0.822440251975859,three_1pp_cut_2028_2030,cut,5.48411041063747,2.152749307275331,5.800662220420443,2.3407986026028187
12,debt,retained_single_feature,2.0795357575528555,0.822440251975859,three_1pp_expansion_2028_2030,expansion,-5.029578489366656,-2.152749307275331,-5.800662220420443,-2.3407986026028187
13,trade,retained_single_feature,1.8978957387509081,0.668726780873654,three_1pp_cut_2028_2030,cut,5.454772439521449,-3.37893036852777,4.413378156588227,1.9358001831836908
13,trade,retained_single_feature,1.8978957387509081,0.668726780873654,three_1pp_expansion_2028_2030,expansion,-5.26009633541608,3.37893036852777,-4.413378156588227,-1.9358001831836908
13,liq,retained_single_feature,2.4362975800852444,0.7023456278454271,three_1pp_cut_2028_2030,cut,9.420628580693673,-2.427117980030115,5.447977013323455,2.058321182721704
13,liq,retained_single_feature,2.4362975800852444,0.7023456278454271,three_1pp_expansion_2028_2030,expansion,-9.12490687328318,2.427117980030115,-5.447977013323455,-2.058321182721704
13,debt,retained_single_feature,2.1404166783083847,0.7114351571350073,three_1pp_cut_2028_2030,cut,5.252623268584742,0.49393447269171853,4.632553197313246,2.126917487401288
13,debt,retained_single_feature,2.1404166783083847,0.7114351571350073,three_1pp_expansion_2028_2030,expansion,-5.007390490323701,-0.49393447269171853,-4.632553197313246,-2.126917487401288
14,trade,retained_single_feature,2.2349717489497234,0.7784493591355492,three_1pp_cut_2028_2030,cut,16.731706331715117,2.1664091139334314,6.709251829933674,1.8373498192844626
14,trade,retained_single_feature,2.2349717489497234,0.7784493591355492,three_1pp_expansion_2028_2030,expansion,-16.318997570172996,-2.1664091139334314,-6.709251829933674,-1.8373498192844626
14,liq,retained_single_feature,3.070773699341384,0.8367486573934121,three_1pp_cut_2028_2030,cut,22.17419137238312,5.425935493810481,8.807993545766248,2.103593793738099
14,liq,retained_single_feature,3.070773699341384,0.8367486573934121,three_1pp_expansion_2028_2030,expansion,-21.007822017360652,-5.425935493810481,-8.807993545766248,-2.103593793738099
14,debt,retained_single_feature,1.9726033571188681,0.7685714988851533,three_1pp_cut_2028_2030,cut,11.759949429108545,3.598165716918561,5.843601075001988,2.0281253849207532
14,debt,retained_single_feature,1.9726033571188681,0.7685714988851533,three_1pp_expansion_2028_2030,expansion,-11.378306032349968,-3.598165716918561,-5.843601075001988,-2.0281253849207532
15,trade,retained_single_feature,2.2799134870779696,0.81678262893198,three_1pp_cut_2028_2030,cut,7.018393900885641,1.4030357950741361,5.17016910059868,2.066719145598617
15,trade,retained_single_feature,2.2799134870779696,0.81678262893198,three_1pp_expansion_2028_2030,expansion,-6.776131671459154,-1.4030357950741361,-5.17016910059868,-2.066719145598617
15,liq,retained_single_feature,3.1883230114070242,0.8729222285323099,three_1pp_cut_2028_2030,cut,15.072599556470252,3.759510244886792,7.698049634985056,2.2479355662321496
15,liq,retained_single_feature,3.1883230114070242,0.8729222285323099,three_1pp_expansion_2028_2030,expansion,-14.274874026915313,-3.759510244886792,-7.698049634985056,-2.2479355662321496
15,debt,retained_single_feature,2.472869977966504,0.856351322868571,three_1pp_cut_2028_2030,cut,9.060654459959594,2.1931069830179015,5.92341136055809,2.2031910423594274
15,debt,retained_single_feature,2.472869977966504,0.856351322868571,three_1pp_expansion_2028_2030,expansion,-8.68736828217665,-2.1931069830179015,-5.92341136055809,-2.2031910423594274
16,trade,retained_single_feature,0.9570005479211259,0.6895769200469702,three_1pp_cut_2028_2030,cut,-5.236733715150194,-0.19561999430145632,2.456540962622327,2.038839578865126
16,trade,retained_single_feature,0.9570005479211259,0.6895769200469702,three_1pp_expansion_2028_2030,expansion,5.375984563627142,0.19561999430145632,-2.456540962622327,-2.038839578865126
16,liq,retained_single_feature,0.9919807867416789,0.758216400702096,three_1pp_cut_2028_2030,cut,-5.413004084564321,3.0237376573095864,2.6866021327234773,2.1928340203194314
16,liq,retained_single_feature,0.9919807867416789,0.758216400702096,three_1pp_expansion_2028_2030,expansion,5.544887048849461,-3.0237376573095864,-2.6866021327234773,-2.1928340203194314
16,debt,retained_single_feature,2.063928147164765,0.8758250891695863,three_1pp_cut_2028_2030,cut,4.84646034059503,5.92563854541348,6.078201717128035,2.325841829184256
16,debt,retained_single_feature,2.063928147164765,0.8758250891695863,three_1pp_expansion_2028_2030,expansion,-4.405192815550549,-5.92563854541348,-6.078201717128035,-2.325841829184256
17,trade,retained_single_feature,1.4306788400686723,0.7205226813636091,three_1pp_cut_2028_2030,cut,3.446546924237751,0.1673147273091703,3.747654478058495,2.057003828912725
17,trade,retained_single_feature,1.4306788400686723,0.7205226813636091,three_1pp_expansion_2028_2030,expansion,-3.393000466246278,-0.1673147273091703,-3.747654478058495,-2.057003828912725
