feature_set,features,horizon,response_type,dep_col,scale_col,nobs,country_n,year_min,year_max,rank,regressor_count,profile_country,profile_year,status,profile_z_values,beta_dep,se_beta_dep,p_beta_dep,beta_scale,se_beta_scale,p_beta_scale,denom_t,ratio,se_ratio,p_ratio,cumulative_ratio,cumulative_label
debt+liq,debt|liq,4,output_over_initial_investment,y_dyn_h4,gi_dyn0,481,27,2004,2021,10,10,POL,2025,OK,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922}",-0.012869410147411903,0.013616910537521317,0.34460527615647685,0.04241915311838583,0.0006825719726163876,0.0,62.14605172812425,-0.303386776994232,0.3195197454225436,0.3423619510624194,1.4074558398537655,K_Y_cumulative
debt+liq,debt|liq,5,output_over_initial_investment,y_dyn_h5,gi_dyn0,456,27,2004,2020,10,10,POL,2025,OK,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922}",0.0010660097772202512,0.004412361753016294,0.8090930765572857,0.04245585662017445,0.0005661878871952957,0.0,74.98545550044611,0.025108662551721964,0.10389757861232989,0.8090378556544127,1.4325645024054876,K_Y_cumulative
debt+liq,debt|liq,6,output_over_initial_investment,y_dyn_h6,gi_dyn0,431,27,2004,2019,10,10,POL,2025,OK,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922}",-0.0003693750790424276,0.004146997110537257,0.9290258869681782,0.042604777027246854,0.000458534531493902,0.0,92.91508948833324,-0.008669804299320771,0.09735530638718086,0.9290396082696,1.4238946981061669,K_Y_cumulative
debt+liq,debt|liq,7,output_over_initial_investment,y_dyn_h7,gi_dyn0,405,27,2004,2018,10,10,POL,2025,OK,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922}",0.005388170135049904,0.008275268081904232,0.514970775600937,0.04291365369290007,0.00033977416621688763,0.0,126.30051946182114,0.125558410234861,0.1928916514477845,0.5150935235127498,1.549453108341028,K_Y_cumulative
debt+liq,debt|liq,8,output_over_initial_investment,y_dyn_h8,gi_dyn0,378,27,2004,2017,10,10,POL,2025,OK,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922}",0.011139270675706633,0.004339721404830692,0.010263676318602588,0.04297576151536331,0.00035507199662093274,0.0,121.03393656595034,0.25919891312977617,0.10014299371856511,0.009645428740041817,1.808652021470804,K_Y_cumulative
debt+liq+log_gdp_pc,debt|liq|log_gdp_pc,0,investment_path_over_initial_investment,gi_dyn_h0,gi_dyn0,583,27,2004,2025,12,12,POL,2025,OK,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922, ""log_gdp_pc"": 0.07401637081113775}",0.04161477962630647,0.000794825244021603,0.0,0.04161477962630647,0.000794825244021603,0.0,52.35714383673425,1.0,3.43805390072983e-18,0.0,1.0,K_G_cumulative
debt+liq+log_gdp_pc,debt|liq|log_gdp_pc,1,investment_path_over_initial_investment,gi_dyn_h1,gi_dyn0,557,27,2004,2024,12,12,POL,2025,OK,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922, ""log_gdp_pc"": 0.07401637081113775}",-0.002905698593800834,0.003245735743312372,0.370661090766893,0.041677791303241694,0.0007989654132175669,0.0,52.16470026580785,-0.06971815211270155,0.07750522188512689,0.36837124891701345,0.9302818478872985,K_G_cumulative
debt+liq+log_gdp_pc,debt|liq|log_gdp_pc,2,investment_path_over_initial_investment,gi_dyn_h2,gi_dyn0,531,27,2004,2023,12,12,POL,2025,OK,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922, ""log_gdp_pc"": 0.07401637081113775}",-0.007898170155573007,0.002022321631568658,9.40320999232025e-05,0.04170664309102922,0.0008265290666056949,0.0,50.45998353367752,-0.18937439146886992,0.04771486480871351,7.221238304055966e-05,0.7409074564184286,K_G_cumulative
debt+liq+log_gdp_pc,debt|liq|log_gdp_pc,3,investment_path_over_initial_investment,gi_dyn_h3,gi_dyn0,506,27,2004,2022,12,12,POL,2025,OK,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922, ""log_gdp_pc"": 0.07401637081113775}",-0.003967045219109831,0.003370825369438454,0.2392447963370301,0.04173313122722442,0.0008734710263222826,0.0,47.778495187115965,-0.09505745441219006,0.07929761242969655,0.23062790913012332,0.6458500020062384,K_G_cumulative
debt+liq+log_gdp_pc,debt|liq|log_gdp_pc,4,investment_path_over_initial_investment,gi_dyn_h4,gi_dyn0,481,27,2004,2021,12,12,POL,2025,OK,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922, ""log_gdp_pc"": 0.07401637081113775}",-0.002055868844140004,0.002102668988138743,0.3282016935379857,0.041626652316549634,0.0008879867476833728,0.0,46.87756030723146,-0.04938828201956193,0.04973774630056905,0.3207226925595468,0.5964617199866765,K_G_cumulative
debt+liq+log_gdp_pc,debt|liq|log_gdp_pc,5,investment_path_over_initial_investment,gi_dyn_h5,gi_dyn0,456,27,2004,2020,12,12,POL,2025,OK,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922, ""log_gdp_pc"": 0.07401637081113775}",-0.00016095608253735596,0.003171781594082907,0.959527706651299,0.04166875788288846,0.0008122731583229231,0.0,51.29894722721201,-0.0038627521124994612,0.07616898525921546,0.9595542764498524,0.5925989678741771,K_G_cumulative
debt+liq+log_gdp_pc,debt|liq|log_gdp_pc,6,investment_path_over_initial_investment,gi_dyn_h6,gi_dyn0,431,27,2004,2019,12,12,POL,2025,OK,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922, ""log_gdp_pc"": 0.07401637081113775}",0.0006108107035861247,0.0009003430850944832,0.49750546845716115,0.041831824487363,0.000775371875771247,0.0,53.95066005683236,0.01460157932558368,0.02141311649582042,0.49530291818815475,0.6072005471997608,K_G_cumulative
debt+liq+log_gdp_pc,debt|liq|log_gdp_pc,7,investment_path_over_initial_investment,gi_dyn_h7,gi_dyn0,405,27,2004,2018,12,12,POL,2025,OK,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922, ""log_gdp_pc"": 0.07401637081113775}",0.0008714672128084068,0.0011676433842948007,0.455457787318708,0.04228443842487623,0.0006634903028560836,0.0,63.73030358221839,0.020609643766623054,0.027433318876347583,0.45249425317647063,0.6278101909663838,K_G_cumulative
debt+liq+log_gdp_pc,debt|liq|log_gdp_pc,8,investment_path_over_initial_investment,gi_dyn_h8,gi_dyn0,378,27,2004,2017,12,12,POL,2025,OK,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922, ""log_gdp_pc"": 0.07401637081113775}",0.005454337977825262,0.0014204572758787577,0.00012311123286279368,0.042336265942775814,0.0006845662441155951,0.0,61.8439286288077,0.12883370454063345,0.034130813876028704,0.00016019805186640035,0.7566438955070173,K_G_cumulative
debt+liq+log_gdp_pc,debt|liq|log_gdp_pc,0,output_over_initial_investment,y_dyn_h0,gi_dyn0,583,27,2004,2025,12,12,POL,2025,OK,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922, ""log_gdp_pc"": 0.07401637081113775}",0.04499680036056195,0.015214672173069828,0.0031018393340205286,0.04161477962630647,0.000794825244021603,0.0,52.35714383673425,1.0812697018853745,0.37073876330300926,0.003539518150408094,1.0812697018853745,K_Y_cumulative
debt+liq+log_gdp_pc,debt|liq|log_gdp_pc,1,output_over_initial_investment,y_dyn_h1,gi_dyn0,557,27,2004,2024,12,12,POL,2025,OK,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922, ""log_gdp_pc"": 0.07401637081113775}",0.03496466488699176,0.018649525951637082,0.06081630536301552,0.041677791303241694,0.0007989654132175669,0.0,52.16470026580785,0.8389279708368858,0.45409041102832104,0.06467600388810357,1.9201976727222603,K_Y_cumulative
debt+liq+log_gdp_pc,debt|liq|log_gdp_pc,2,output_over_initial_investment,y_dyn_h2,gi_dyn0,531,27,2004,2023,12,12,POL,2025,OK,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922, ""log_gdp_pc"": 0.07401637081113775}",-0.006678798832089969,0.010659887395683474,0.5309637009818744,0.04170664309102922,0.0008265290666056949,0.0,50.45998353367752,-0.1601375305490968,0.2550066979170098,0.5300210895184458,1.7600601421731634,K_Y_cumulative
debt+liq+log_gdp_pc,debt|liq|log_gdp_pc,3,output_over_initial_investment,y_dyn_h3,gi_dyn0,506,27,2004,2022,12,12,POL,2025,OK,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922, ""log_gdp_pc"": 0.07401637081113775}",-0.027424033080347042,0.013718660526489918,0.04560495716840318,0.04173313122722442,0.0008734710263222826,0.0,47.778495187115965,-0.6571285756400923,0.3236000617548017,0.04228734029561809,1.1029315665330712,K_Y_cumulative
debt+liq+log_gdp_pc,debt|liq|log_gdp_pc,4,output_over_initial_investment,y_dyn_h4,gi_dyn0,481,27,2004,2021,12,12,POL,2025,OK,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922, ""log_gdp_pc"": 0.07401637081113775}",-0.005361486351001341,0.022826605546584607,0.8143027829744276,0.041626652316549634,0.0008879867476833728,0.0,46.87756030723146,-0.12879936417250057,0.54733391056812,0.8139593120557396,0.9741322023605706,K_Y_cumulative
debt+liq+log_gdp_pc,debt|liq|log_gdp_pc,5,output_over_initial_investment,y_dyn_h5,gi_dyn0,456,27,2004,2020,12,12,POL,2025,OK,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922, ""log_gdp_pc"": 0.07401637081113775}",-0.000944731700728756,0.01043385481663567,0.9278542641787921,0.04166875788288846,0.0008122731583229231,0.0,51.29894722721201,-0.022672422906964456,0.25063803670928725,0.9279226107294716,0.9514597794536062,K_Y_cumulative
debt+liq+log_gdp_pc,debt|liq|log_gdp_pc,6,output_over_initial_investment,y_dyn_h6,gi_dyn0,431,27,2004,2019,12,12,POL,2025,OK,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922, ""log_gdp_pc"": 0.07401637081113775}",-0.016082848568908733,0.010250430475202337,0.11664968588784808,0.041831824487363,0.000775371875771247,0.0,53.95066005683236,-0.3844644302752611,0.2454637038354403,0.11728351937189663,0.566995349178345,K_Y_cumulative
debt+liq+log_gdp_pc,debt|liq|log_gdp_pc,7,output_over_initial_investment,y_dyn_h7,gi_dyn0,405,27,2004,2018,12,12,POL,2025,OK,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922, ""log_gdp_pc"": 0.07401637081113775}",1.3795533116308485e-05,0.017687511379151994,0.9993776828447158,0.04228443842487623,0.0006634903028560836,0.0,63.73030358221839,0.00032625555949662266,0.4182967006252064,0.9993776803713343,0.5673216047378418,K_Y_cumulative
debt+liq+log_gdp_pc,debt|liq|log_gdp_pc,8,output_over_initial_investment,y_dyn_h8,gi_dyn0,378,27,2004,2017,12,12,POL,2025,OK,"{""debt"": -0.08146573873820974, ""liq"": 0.5755551475575922, ""log_gdp_pc"": 0.07401637081113775}",0.00931743442388101,0.005892101766157869,0.1137996117853104,0.042336265942775814,0.0006845662441155951,0.0,61.8439286288077,0.2200816301672661,0.13961761887573654,0.11495275908548663,0.7874032349051078,K_Y_cumulative
