estimation_id,feature_set,features,horizon,response_type,dep_col,scale_col,nobs,country_n,year_min,year_max,rank,regressor_count,status,beta_numerator_profile,beta_denominator_profile,var_numerator_profile,var_denominator_profile,cov_numerator_denominator_profile,denominator_t_stat,ratio,ratio_std_error,ratio_p_value,ratio_ci95_low,ratio_ci95_high
debt__h3__output,debt,debt,3,output_over_initial_investment,y_dyn_h3,gi_dyn0,506,27,2004,2022,8,8,OK,-0.014133278196654732,0.04178283949633467,0.0001606204598863118,5.869353619742128e-07,-5.359031458208942e-06,54.538452722494206,-0.3382555701580442,0.29994238955928726,0.25943179604236377,-0.9261318511311297,0.24962071081504134
debt__h3__investment_path,debt,debt,3,investment_path_over_initial_investment,gi_dyn_h3,gi_dyn0,506,27,2004,2022,8,8,OK,-0.005547025676655415,0.04178283949633467,7.813918031422534e-06,5.869353619742128e-07,-1.0936868540818767e-06,54.538452722494206,-0.13275846599994764,0.06569179340393058,0.043287090721415344,-0.2615120151514974,-0.004004916848397877
debt__h4__output,debt,debt,4,output_over_initial_investment,y_dyn_h4,gi_dyn0,481,27,2004,2021,8,8,OK,-0.010010789154846468,0.04168488168566309,0.00019733063969167461,5.316177869967451e-07,-5.594852059102912e-06,57.17139925046756,-0.24015395390433683,0.33471521717270863,0.4730734027382857,-0.8961837246403481,0.4158758168316745
debt__h4__investment_path,debt,debt,4,investment_path_over_initial_investment,gi_dyn_h4,gi_dyn0,481,27,2004,2021,8,8,OK,-0.00166697868576576,0.04168488168566309,5.849513766945364e-06,5.316177869967451e-07,-1.0035917942571618e-06,57.17139925046756,-0.0399900064089445,0.05762526963667281,0.48770322081735196,-0.15293345949623272,0.0729534466783437
debt__h5__output,debt,debt,5,output_over_initial_investment,y_dyn_h5,gi_dyn0,456,27,2004,2020,8,8,OK,0.0006612518839377822,0.04175935360068001,2.6927848782676588e-05,4.280203817025002e-07,3.2702155323809206e-07,63.82951471146134,0.015834820870575313,0.12424084474229696,0.8985821729667247,-0.2276727602331592,0.2593424019743098
debt__h5__investment_path,debt,debt,5,investment_path_over_initial_investment,gi_dyn_h5,gi_dyn0,456,27,2004,2020,8,8,OK,0.0002588049167579316,0.04175935360068001,7.796997172983117e-07,4.280203817025002e-07,-2.3614784183779112e-09,63.82951471146134,0.006197531677159802,0.02114572845855125,0.7694558859507148,-0.03524733452846431,0.04764239788278391
debt__h6__output,debt,debt,6,output_over_initial_investment,y_dyn_h6,gi_dyn0,431,27,2004,2019,8,8,OK,0.0007569231600094608,0.041893008743496926,9.742897165386937e-06,3.77993141075025e-07,4.2960818637583887e-07,68.13960202439365,0.018068006636714973,0.07444901965146555,0.8082458247061932,-0.12784939056447217,0.16398540383790214
debt__h6__investment_path,debt,debt,6,investment_path_over_initial_investment,gi_dyn_h6,gi_dyn0,431,27,2004,2019,8,8,OK,-0.00025538997979338685,0.041893008743496926,1.9714474319730898e-06,3.77993141075025e-07,3.7879691067869525e-07,68.13960202439365,-0.0060962434414078975,0.0335552674076073,0.8558356760460839,-0.0718633590519289,0.0596708721691131
debt__h7__output,debt,debt,7,output_over_initial_investment,y_dyn_h7,gi_dyn0,405,27,2004,2018,8,8,OK,0.0043466905735872075,0.042098263737874855,7.540934924852262e-05,2.522651956635376e-07,2.931262975662991e-06,83.81765697011382,0.10325106519004935,0.20544999777941841,0.6152732668474838,-0.2994235310814447,0.5059256614615434
debt__h7__investment_path,debt,debt,7,investment_path_over_initial_investment,gi_dyn_h7,gi_dyn0,405,27,2004,2018,8,8,OK,0.001452061680963431,0.042098263737874855,3.98717675483884e-06,2.522651956635376e-07,5.685886291789298e-07,83.81765697011382,0.03449219877581421,0.04719959909248713,0.46491773838450356,-0.058017315530189954,0.12700171308181837
