feature_set,scenario,scenario_sign,year,horizon_from_2028,Y_shortfall_pct,direct_discretionary_PB_level_pp,delta_cyclical_PB_pp,baseline_PB_pp,PB_new_pp,nominal_gdp_growth_new_pct,baseline_D_Y_pp,D_Y_new_pp,dsa_margin_vs_baseline_pp,direct_DY_LP_margin_initial_action_pp
log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2034,6,-3.3771511488881667,-1.7582630071142433,1.62103255146632,-3.859153032302856,-3.996383487950779,5.078610649982385,97.61768341064452,96.9641112550654,-0.6535721555791127,1.1484812031246872
log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2035,7,-2.975953343510436,-1.7542313711584563,1.4284576048850093,-3.876374483108521,-4.202148249381968,5.112107443441705,101.9944839477539,102.04304363359095,0.048559685837048505,2.156258099534181
log_gdp_pc,three_1pp_expansion_2028_2030,expansion,2036,8,-2.7262967640008746,-1.9037322353128614,1.3086224467204197,-3.893596172332764,-4.4887059609252065,4.959692551422834,106.79410552978516,107.6884038419404,0.894298312155243,2.261989366830451
trade,three_1pp_cut_2028_2030,cut,2024,-4,0.0,0.0,0.0,-4.269382953643799,-4.269382953643799,,55.08902359008789,55.08902359008789,0.0,0.0
trade,three_1pp_cut_2028_2030,cut,2025,-3,0.0,0.0,0.0,-4.325899124145508,-4.325899124145508,6.943162276891779,59.51612854003906,59.51612854003906,0.0,0.0
trade,three_1pp_cut_2028_2030,cut,2026,-2,0.0,0.0,0.0,-3.591127634048462,-3.591127634048462,6.625874450677793,64.90138244628906,64.90138244628906,0.0,0.0
trade,three_1pp_cut_2028_2030,cut,2027,-1,0.0,0.0,0.0,-3.824702739715576,-3.824702739715576,6.173631620015585,69.67215728759766,69.67215728759766,0.0,0.0
trade,three_1pp_cut_2028_2030,cut,2028,0,1.3791126873307011,1.0,-0.6619740899187365,-3.879892110824585,-3.5418662007433213,3.9686049469690676,73.19452667236328,73.82579546604555,0.631268793682267,1.5859583771643968
trade,three_1pp_cut_2028_2030,cut,2029,1,3.6676507998532193,2.013505790455234,-1.7604723839295453,-3.947735786437988,-3.6947023799122993,2.789981119265117,77.04766845703125,79.17667836409291,2.1290099070616577,4.119347162650531
trade,three_1pp_cut_2028_2030,cut,2030,2,5.93492438736849,2.8506430062970525,-2.848763705936875,-3.9902679920196538,-3.9883886916594764,2.6986923031773857,81.12287902832031,85.16286950822585,4.039990479905541,6.420381800415825
