country,year,nominal_gdp_mio_eur,debt_raw,gdp_pc_current_pps,gdp_pc_real_index_2020,gdp_pc_current_pps_2020_anchor,real_ppp_gdp_pc_2020pps,log_real_ppp_gdp_pc_raw,hh_total_financial_assets_mio_eur,hh_total_financial_liabilities_mio_eur,hh_net_financial_worth_to_gdp,liq_raw,trade_raw
NLD,2023,1050133.0,45.8,50214.7,108.232,39986.8,43278.513376,10.675411563947058,3145939.0,1060965.0,1.9854380349917582,-1.9854380349917582,
NLD,2024,1121543.0,43.8,53449.2,108.683,39986.8,43458.853844000005,10.679569880798137,3360229.0,1097619.0,2.0174081600081317,-2.0174081600081317,
NLD,2025,1179458.0,44.4,55631.1,110.053,39986.8,44006.673004000004,10.692096560583126,3290022.0,1146662.0,1.8172414787131037,-1.8172414787131037,
POL,1995,109251.2,47.3,6514.3,37.547,23916.5,8979.928254999999,9.102747171843394,36420.2,2465.2,0.31079750153774055,-0.31079750153774055,0.2846
POL,1996,126689.1,42.2,7102.9,39.821,23916.5,9523.789465,9.161548101629533,41122.4,4561.8,0.28858520583065156,-0.28858520583065156,0.30833
POL,1997,141122.1,42.1,7572.4,42.35,23916.5,10128.63775,9.223122111398334,53502.1,6722.1,0.33148599687788094,-0.33148599687788094,0.346
POL,1998,155540.9,38.2,8000.0,44.316,23916.5,10598.836140000001,9.268499475958697,74041.1,10973.2,0.405474701509378,-0.405474701509378,0.36692
POL,1999,160193.7,38.8,8510.5,46.416,23916.5,11101.08264,9.314797917679318,82782.1,12733.5,0.43727437471011654,-0.43727437471011654,0.35764
POL,2000,187532.8,36.2,8905.4,48.595,23916.5,11622.223175,9.360674335255704,98204.3,16031.7,0.4381772148658795,-0.4381772148658795,0.39142
POL,2001,213857.2,37.1,9250.9,49.201,23916.5,11767.157165,9.37306763879523,118185.3,28766.1,0.4181257399797622,-0.4181257399797622,0.3632
POL,2002,211220.0,41.6,9707.6,50.161,23916.5,11996.755565,9.392391522630358,113682.4,32053.2,0.38646529684688946,-0.38646529684688946,0.39233
POL,2003,193199.6,46.4,10127.5,51.978,23916.5,12431.31837,9.42797424243633,135066.5,24560.1,0.5719804802908495,-0.5719804802908495,0.43287
POL,2004,207064.4,44.9,10961.6,54.646,23916.5,13069.410590000001,9.478029709197417,166212.3,31966.0,0.6483311472179669,-0.6483311472179669,0.41746
POL,2005,246903.6,46.5,11416.1,56.456,23916.5,13502.29924,9.5106152639988,200627.2,40396.4,0.648960971002448,-0.648960971002448,0.39351
POL,2006,275514.0,47.1,12094.3,60.003,23916.5,14350.617494999999,9.571548251272413,229022.2,53867.7,0.6357372039170424,-0.6357372039170424,0.4171
POL,2007,314356.3,44.4,13292.5,64.087,23916.5,15327.367355000002,9.637395225546225,283334.6,77721.7,0.6540759641209671,-0.6540759641209671,0.41808
POL,2008,367420.9,46.6,14261.4,66.896,23916.5,15999.181840000001,9.68029286491448,231857.5,95589.5,0.370877105793383,-0.370877105793383,0.41322
POL,2009,317876.9,49.7,14569.5,68.578,23916.5,16401.45737,9.705125473888506,268419.5,108063.3,0.5044600598533583,-0.5044600598533583,0.36878
POL,2010,360890.7,53.7,15891.8,70.958,23916.5,16970.67007,9.739241843011495,304154.2,126881.0,0.4912102196038856,-0.4912102196038856,0.37224
POL,2011,379540.6,54.8,17002.3,74.67,23916.5,17858.450549999998,9.79023209534788,290846.6,126050.2,0.43419966138009997,-0.43419966138009997,0.36785
POL,2012,387660.3,54.5,17524.2,75.783,23916.5,18124.641195,9.805027683388998,352429.6,139166.7,0.5501282953142222,-0.5501282953142222,0.37315
POL,2013,390177.0,56.9,17640.5,76.357,23916.5,18261.921905,9.812573400800916,368312.6,142837.8,0.5778782450016274,-0.5778782450016274,0.38036
POL,2014,408714.7,51.1,18251.0,79.403,23916.5,18990.418495,9.8516898412149,387958.2,146582.7,0.5905721032299548,-0.5905721032299548,0.38095
POL,2015,432485.8,51.1,19407.7,82.976,23916.5,19844.95504,9.895705099656524,418468.3,155475.7,0.608095340933737,-0.608095340933737,0.37375
POL,2016,427658.6,54.1,19706.9,85.547,23916.5,20459.848255,9.926219622811447,441432.6,157937.8,0.6628997990453133,-0.6628997990453133,0.37894
POL,2017,469071.2,50.4,20730.1,89.942,23916.5,21510.97843,9.976318708442513,488286.3,170337.3,0.6778267350457671,-0.6778267350457671,0.3939
POL,2018,503951.0,48.2,21945.0,95.574,23916.5,22857.95571,10.037054506840827,499458.3,177140.9,0.6395808322634542,-0.6395808322634542,0.39645
POL,2019,538423.5,45.2,23348.0,99.974,23916.5,23910.28171,10.082063842482501,533998.8,189411.8,0.6399924966127966,-0.6399924966127966,0.40058
POL,2020,531827.4,56.6,23916.5,100.0,23916.5,23916.5,10.082323876288362,565292.0,182037.4,0.7206371841691496,-0.7206371841691496,0.38894
POL,2021,583001.4,53.0,26197.3,107.486,23916.5,25706.88919,10.154514296828852,612376.2,189395.0,0.7255234721563275,-0.7255234721563275,0.39283
POL,2022,661712.3,48.8,28144.7,110.719,23916.5,26480.109635,10.184149150336935,612517.3,177674.5,0.6571478269332458,-0.6571478269332458,0.41308
