feature_set,features,horizon,response_type,dep_col,scale_col,window_start,window_end,nobs,country_n,year_min,year_max,rank,regressor_count,status,profile_country,profile_year,profile_z_values,beta_dep,se_beta_dep,p_beta_dep,beta_scale,se_beta_scale,p_beta_scale,denom_t,ratio,se_ratio,p_ratio,ci95_low,ci95_high
linear_benchmark,,6,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h6,gi_dyn0,2004,2019,431,27,2004,2019,6,6,OK,POL,2025,{},-0.009341226132280002,0.04013253957808049,0.8159482353626077,0.041438699547203944,0.0011758867757433412,0.0,35.24038232423212,-0.22542276264338745,0.9703666751037917,0.8162997428484129,-2.1273064976446983,1.6764609723579236
linear_benchmark,,7,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h7,gi_dyn0,2004,2018,405,27,2004,2018,6,6,OK,POL,2025,{},-0.05500938745088938,0.03712534736816086,0.13841468593053863,0.04182831864495292,0.0010273545970021262,0.0,40.71458751146889,-1.3151230848607611,0.9124733421659085,0.14950760493507476,-3.1035379723588346,0.4732918026373123
linear_benchmark,,8,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h8,gi_dyn0,2004,2017,378,27,2004,2017,6,6,OK,POL,2025,{},-0.08206818532165448,0.04007755965308758,0.0405860611888722,0.0422665830928084,0.000896238937358038,0.0,47.159949574834584,-1.9416801481551098,0.9717729069702647,0.045707972239454886,-3.8463200469686205,-0.03704024934159911
liq,liq,0,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h0,gi_dyn0,2004,2025,583,27,2004,2025,8,8,OK,POL,2025,"{""liq"": 0.5755551475575922}",-0.06360578315149236,0.026799238421268152,0.017624326772430976,0.042140149843908466,0.001138000221967518,0.0,37.03000142746129,-1.509386734197549,0.6467079325467104,0.019598117092857192,-2.77691099050546,-0.24186247788963833
liq,liq,1,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h1,gi_dyn0,2004,2024,557,27,2004,2024,8,8,OK,POL,2025,"{""liq"": 0.5755551475575922}",-0.10593427113005784,0.0389747564263383,0.0065673340298841865,0.04215653766809654,0.0011459637960057642,0.0,36.78697164346062,-2.512878831845514,0.9477866856673752,0.008017958144623805,-4.370506600780153,-0.6552510629108741
liq,liq,2,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h2,gi_dyn0,2004,2023,531,27,2004,2023,8,8,OK,POL,2025,"{""liq"": 0.5755551475575922}",-0.09656588145440849,0.04981627798312527,0.05256952622746813,0.042148850481594925,0.0012164377362031279,0.0,34.64941051003096,-2.2910679734095183,1.210937202781811,0.05849375514045829,-4.664461278401543,0.08232533158250677
liq,liq,3,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h3,gi_dyn0,2004,2022,506,27,2004,2022,8,8,OK,POL,2025,"{""liq"": 0.5755551475575922}",-0.08434846189549221,0.06324555760460886,0.18231327972305666,0.04218870530702177,0.0011892300030108016,0.0,35.47564827679392,-1.9993138277569633,1.5259670273938621,0.19012999683844267,-4.990154243044579,0.9915265875306516
liq,liq,4,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h4,gi_dyn0,2004,2021,481,27,2004,2021,8,8,OK,POL,2025,"{""liq"": 0.5755551475575922}",-0.05359236614952396,0.05583758767698775,0.33716084523313405,0.042086770917552106,0.0011460740697626466,0.0,36.72255749252606,-1.2733779518155786,1.3489310344925165,0.3451745521361824,-3.9172341970492672,1.3704782934181103
liq,liq,5,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h5,gi_dyn0,2004,2020,456,27,2004,2020,8,8,OK,POL,2025,"{""liq"": 0.5755551475575922}",-0.0034982422961189713,0.03524969041176924,0.9209462967318904,0.04221692830790338,0.0010218405986606742,0.0,41.314592866281764,-0.08286349661929501,0.8361151708375936,0.9210546148468715,-1.7216191183885323,1.5558921251499425
liq,liq,6,direct_debt_ratio_over_initial_investment,debt_dyn_ratio_h6,gi_dyn0,2004,2019,431,27,2004,2019,8,8,OK,POL,2025,"{""liq"": 0.5755551475575922}",-0.010491148371920141,0.0350654546063433,0.7647969281574039,0.04235727202524888,0.0009501131227679609,0.0,44.581293543077905,-0.2476823428493327,0.8287067756712617,0.7650330240458216,-1.871917776909319,1.3765530912106536
